CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
140,colony,leaf,21,6/29/2023,7/6/2023,,7/10/2023,11,12.82,,7/13/2023,14,37.42,,7/20/2023,21,191.13,N,,,,,,,7/20/2023,21,INT
141,colony,leaf,16,6/27/2023,7/7/2023,,7/12/2023,15,9.17,,7/19/2023,22,32.27,,7/30,33,171.55,N,,,,,,,7/30/2023,33,INT
142,colony,leaf,16,6/25/2023,7/8/2023,,,,,,,,,,,,,,,,,,,,7/19/2023,24,
143,colony,leaf,16,6/25/2023,7/8/2023,,7/15/2023,20,4.31,,,,,,,,,,,,,,,,7/22/2023,27,
144,colony,leaf,16,6/26/2023,7/8/2023,,7/15/2023,19,8.29,,7/22/2023,26,21.44,,8/2/2023,37,145.06,N,,,,,,,8/2/2023,37,INT
145,colony,leaf,16,6/26/2023,7/8/2023,,7/15/2023,19,5.3,,7/22/2023,26,35.74,,8/4/2023,39,202.09,N,,,,,,,8/4/2023,39,INT
146,colony,leaf,16,6/26/2023,7/8/2023,,7/15/2023,19,7.14,,7/22/2023,26,48.72,,8/2/2023,37,221.36,N,,,,,,,8/2/2023,37,INT
147,Perrywinkle,leaf,16,6/20/2023,7/8/2023,,7/17/2023,27,11.7,,7/24/2023,34,44.52,,8/4/2023,45,212.63,Y,,,,,,,,,
148,Colony,leaf,16,6/27/2023,7/8/2023,,7/15/2023,18,6.17,,7/24/2023,27,43.36,,8/6/2023,40,129.42,N,,,,,,,8/8/2023,42,INT
149,Colony,leaf,16,6/27/2023,7/8/2023,,7/14/2023,17,7.85,,7/20/2023,23,25.11,,7/30/2023,33,162.07,N,,,,,,,7/30/2023,33,INT
