"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"1541","30","Yes","123.79","Yes","8","43.76","female","No","CA","CA","Larval"
"1561","30","Yes","183.51","Yes","6","82.12","female","Yes","CA","CA","Larval"
"1571","30","Yes","154.84","Yes","5","77.42","female","Yes","CA","CA","Larval"
"1601","21","Yes","193.77","Yes","11","90.07","female","Yes","CA","CA","Larval"
"1611","21","Yes","219.4","Yes","11","107.52","male","Yes","CA","CA","Larval"
"1621","21","Yes","179.45","Yes","11","115.78","female","No","CA","CA","Larval"
"1641","26","Yes","142.91","No",NA,NA,"","","CA","CA","Larval"
"1661","26","Yes","194.98","No",NA,NA,"","","CA","CA","Larval"
"1671","26","Yes","151.85","Yes","7","76.13","female","Yes","CA","CA","Larval"
"1681","30","Yes","152.34","Yes","7","77.84","female","Yes","CA","CA","Larval"
"1691","30","Yes","173.88","Yes","6","87.25","female","Yes","CA","CA","Larval"
"1711","30","Yes","146.69","Yes","6","88.64","female","No","CA","CA","Larval"
"1721","30","Yes","164.08","No",NA,NA,"","","CA","CA","Larval"
"1731","30","Yes","174.01","Yes","7","78.09","female","No","CA","CA","Larval"
"1741","30","Yes","140.39","Yes","6","72.84","male","Yes","CA","CA","Larval"
"1751","30","Yes","155.58","Yes","6","84.42","male","Yes","CA","CA","Larval"
"1871","16","Yes","149.76","Yes","16","79.3","female","Yes","CA","CA","Larval"
"1891","21","Yes","169.74","Yes","10","94.48","female","Yes","CA","CA","Larval"
"1931","21","Yes","220.48","Yes","11","111.24","male","Yes","CA","CA","Larval"
"1941","21","Yes","205.08","Yes","12","96.51","male","Yes","CA","CA","Larval"
"1951","21","Yes","171.02","No",NA,NA,"","","CA","CA","Larval"
"1961","21","Yes","175.96","Yes","10","97.81","female","Yes","CA","CA","Larval"
"1971","21","Yes","180.67","Yes","10","92.82","female","Yes","CA","CA","Larval"
"1981","21","Yes","190.17","Yes","10","151.76","male","Yes","CA","CA","Larval"
"1991","21","Yes","174.72","Yes","11","81.77","male","Yes","CA","CA","Larval"
"2011","21","Yes","228.67","Yes","11","98.03","male","Yes","CA","CA","Larval"
"2031","26","Yes","159.36","No",NA,NA,"","","CA","CA","Larval"
"2051","26","Yes","144.71","Yes","8","70.5","female","Yes","CA","CA","Larval"
"2081","21","Yes","172.09","No",NA,NA,"","","CA","CA","Larval"
"2141","21","Yes","238.83","Yes","11","119.96","male","Yes","CA","CA","Larval"
"2151","21","Yes","183.41","Yes","10","104.31","female","Yes","CA","CA","Larval"
"2161","26","Yes","143.02","Yes","8","81.22","male","Yes","CA","CA","Larval"
"2171","26","Yes","165.38","Yes","8","78.27","female","Yes","CA","CA","Larval"
"2181","26","Yes","167.14","No",NA,NA,"","","CA","CA","Larval"
"2231","16","Yes","214.94","No",NA,NA,"","","CA","CA","Larval"
"2241","16","Yes","202.45","Yes","16","161.25","","","CA","CA","Larval"
"2261","16","Yes","204.83","Yes","19","121.76","male","Yes","CA","CA","Larval"
"2281","30","Yes","182.37","Yes","6","103.2","male","Yes","CA","CA","Larval"
"2291","30","Yes","177.74","Yes","6","95.61","female","Yes","CA","CA","Larval"
"2321","34","Yes","90.25","No",NA,NA,"","","CA","CA","Larval"
"2351","16","Yes","223.41","Yes","19","123.29","male","No","CA","CA","Larval"
"2361","16","Yes","166.84","Yes","17","86.28","female","Yes","CA","CA","Larval"
"2371","16","Yes","182.64","No",NA,NA,"","","CA","CA","Larval"
"2391","30","Yes","191.08","No",NA,NA,"","","CA","CA","Larval"
"2401","30","Yes","149.95","Yes","6","77.51","male","Yes","CA","CA","Larval"
"2411","30","Yes","161.91","Yes","6","95.36","female","Yes","CA","CA","Larval"
"2421","30","Yes","157.85","No",NA,NA,"","","CA","CA","Larval"
"2431","21","Yes","184.05","Yes","11","76.44","female","Yes","CA","CA","Larval"
"2441","21","Yes","194.51","Yes","11","79.69","male","Yes","CA","CA","Larval"
"2461","21","Yes","190.34","Yes","12","93.98","female","Yes","CA","CA","Larval"
"2481","21","Yes","128.7","Yes","11","57.52","female","Yes","CA","CA","Larval"
"2501","16","Yes","166.25","Yes","26","137.3","female","Yes","CA","CA","Larval"
"2531","16","Yes","170.9","No",NA,NA,"","","CA","CA","Larval"
"2541","16","Yes","216.7","Yes","26","114.47","male","No","CA","CA","Larval"
"2561","16","Yes","196.48","No",NA,NA,"","","CA","CA","Larval"
"2571","16","Yes","202.04","No",NA,NA,"","","CA","CA","Larval"
"2581","30","Yes","170.63","Yes","6","99.71","female","No","CA","CA","Larval"
"2591","30","Yes","129.63","No",NA,NA,"","","CA","CA","Larval"
"2601","30","Yes","188.72","Yes","7","75.54","male","Yes","CA","CA","Larval"
"2611","30","Yes","141.55","Yes","5","71.21","female","Yes","CA","CA","Larval"
"2621","30","Yes","168.64","No",NA,NA,"","","CA","CA","Larval"
"2631","30","Yes","159.68","Yes","6","150.05","female","No","CA","CA","Larval"
"2641","21","Yes","174.68","Yes","11","80.77","female","Yes","CA","CA","Larval"
"2651","21","Yes","193.52","Yes","11","82.87","male","Yes","CA","CA","Larval"
"2661","21","Yes","164.72","Yes","11","107.26","female","Yes","CA","CA","Larval"
"2681","21","Yes","217.29","No",NA,NA,"","","CA","CA","Larval"
"2691","21","Yes","197.79","Yes","11","135.13","male","Yes","CA","CA","Larval"
"2701","30","Yes","144.99","Yes","7","77.36","male","No","CA","CA","Larval"
"2711","30","Yes","150.68","Yes","6","86.97","female","No","CA","CA","Larval"
"2721","30","Yes","137.94","Yes","6","61.55","male","Yes","CA","CA","Larval"
"2731","30","Yes","153.71","No",NA,NA,"","","CA","CA","Larval"
"2741","30","Yes","144.52","Yes","6","97.22","female","No","CA","CA","Larval"
"2751","30","Yes","167.62","Yes","6","98.23","male","No","CA","CA","Larval"
"2761","30","Yes","159.96","No",NA,NA,"","","CA","CA","Larval"
"2771","30","Yes","153.65","Yes","6","101.94","female","No","CA","CA","Larval"
"2781","30","Yes","154.64","Yes","7","65.14","female","","CA","CA","Larval"
"2791","30","Yes","156.42","Yes","6","90.34","female","Yes","CA","CA","Larval"
"2801","30","Yes","143.24","Yes","7","75.13","female","Yes","CA","CA","Larval"
"2811","30","Yes","136.05","Yes","6","76.84","male","Yes","CA","CA","Larval"
"2871","16","Yes","174.38","Yes","16","117.84","female","Yes","CA","CA","Larval"
"2931","16","Yes","210.52","No",NA,NA,"","","CA","CA","Larval"
"2951","16","Yes","218.73","No",NA,NA,"","","CA","CA","Larval"
"2971","16","Yes","197.47","Yes","17","122.32","female","Yes","CA","CA","Larval"
"3001","16","Yes","180.9","Yes","16","113.3","female","Yes","CA","CA","Larval"
"3021","16","Yes","214.12","Yes","18","110.08","male","Yes","CA","CA","Larval"
"3031","16","Yes","181.59","Yes","24","120.86","female","No","CA","CA","Larval"
"3091","30","Yes","120.05","Yes","7","60.05","female","Yes","CA","CA","Larval"
"3131","30","Yes","115.19","Yes","7","59.77","female","Yes","CA","CA","Larval"
"3201","30","Yes","161.02","No",NA,NA,"","","CA","CA","Larval"
"3221","30","Yes","153.22","Yes","7","103.11","male","No","CA","CA","Larval"
"3231","21","Yes","222.52","Yes","11","105.72","male","Yes","CA","CA","Larval"
"3241","21","Yes","169.59","Yes","11","99.85","female","Yes","CA","CA","Larval"
"3251","21","Yes","188.7","No",NA,NA,"","","CA","CA","Larval"
"3261","21","Yes","135.72","No",NA,NA,"","","CA","CA","Larval"
"3271","21","Yes","171.44","Yes","9","88.31","male","Yes","CA","CA","Larval"
"3291","21","Yes","196.16","Yes","11","88.75","female","Yes","CA","CA","Larval"
"3321","21","Yes","193.06","Yes","10","141.55","female","Yes","CA","CA","Larval"
"3331","21","Yes","189.25","Yes","10","158.28","Female","Yes","CA","CA","Larval"
"3351","21","Yes","182.48","Yes","10","100.62","female","Yes","CA","CA","Larval"
"3371","21","Yes","204.18","Yes","10","115.99","male","Yes","CA","CA","Larval"
"3431","16","Yes","180.78","Yes","26","77.84","female","Yes","CA","CA","Larval"
"3441","16","Yes","188.93","Yes","21","73.25","female","Yes","CA","CA","Larval"
"3471","16","Yes","175.1","No",NA,NA,"","","CA","CA","Larval"
"3491","21","Yes","182.58","No",NA,NA,"","","CA","CA","Larval"
"3501","21","Yes","179.97","Yes","10","77.33","female","Yes","CA","CA","Larval"
"3521","21","Yes","182.19","Yes","10","73.03","female","Yes","CA","CA","Larval"
"3531","21","Yes","180.92","No",NA,NA,"","","CA","CA","Larval"
"3541","21","Yes","138.54","No",NA,NA,"","","CA","CA","Larval"
