"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"500",1008,26,4,"N",NA,NA,NA,"WA2"
"501",1009,30,NA,"Y","Y",18,160.17,"WA2"
"502",1010,34,NA,"Y","Y",14,126.16,"WA2"
"503",1011,16,NA,"Y","Y",30,187.19,"WA2"
"504",1012,21,NA,"Y","Y",20,168.31,"WA2"
"505",1013,26,NA,"Y","Y",14,205.59,"WA2"
"506",1014,30,NA,"Y","Y",12,140.41,"WA2"
"507",1015,34,4,"N",NA,NA,NA,"WA2"
"508",1016,16,NA,"Y","Y",36,186.12,"WA2"
"509",1017,21,3,"N",NA,NA,NA,"WA2"
"510",1018,26,7,"N",NA,NA,NA,"WA2"
"511",1019,30,4,"N",NA,NA,NA,"WA2"
"512",1020,34,7,"N",NA,NA,NA,"WA2"
"513",1021,16,NA,"Y","Y",32,140.09,"WA2"
"514",1022,21,17,"Y","N",17,NA,"WA2"
"515",1023,26,3,"N",NA,NA,NA,"WA2"
"516",1024,30,NA,"Y","Y",13,175.05,"WA2"
"517",1025,34,NA,"Y","Y",13,137.06,"WA2"
"518",1026,16,32,"N",NA,NA,NA,"WA2"
"519",1027,21,NA,"Y","Y",22,224.74,"WA2"
"520",1028,26,7,"N",NA,NA,NA,"WA2"
"521",1029,30,NA,"Y","Y",12,157.36,"WA2"
"522",1030,34,16,"Y","N",16,NA,"WA2"
"523",1031,16,NA,"Y","Y",32,138.07,"WA2"
