CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
1031,16,,23.00,95.33,,26.00,201.15,46.00,,Yes,32.00,138.07,No,,,,,WA2,WA,27,,12/1/2022,12/24/2022,12/27/2022,1/2/23,,1/16/23
1032,21,,14.00,93.71,,16.00,180.41,,,Yes,18.00,184.88,Yes,10.00,95.55,M,Yes,WA2,WA,27,,12/1/2022,12/15/2022,12/17/2022,12/19/22,12/29/2022,
1033,26,,12.00,209.58,,13.00,214.21,,,Yes,14.00,179.33,Yes,6.00,100.31,M,Yes,WA2,WA,29,,12/1/2022,12/13/2022,12/14/2022,12/15/22,12/21/2022,
1034,30,,,,,,,3.00,,,,,,,,,,WA2,WA,29,,12/1/2022,,,,,12/4/22
1035,34,,,,,,,4.00,,,,,,,,,,WA2,WA,22,,12/1/2022,,,,,12/5/22
1036,16,,21.00,114.84,,24.00,224.58,49.00,,Yes,28.00,192.35,No,,,,,WA2,WA,22,,12/1/2022,12/22/2022,12/25/2022,12/29/22,,1/19/23
1037,21,,17.00,157.19,,19.00,193.22,,,Yes,21.00,198,Yes,11.00,69.07,M,Yes,WA2,WA,22,,12/1/2022,12/18/2022,12/20/2022,12/22/22,1/2/2023,
1038,26,,13.00,151.02,,14.00,172.05,17.00,,No,17.00,110.11,No,,,,,WA2,WA,22,110.11,12/1/2022,12/14/2022,12/15/2022,12/18/22,,12/18/22
1039,30,,9.00,62.61,,12.00,180.24,,,Yes,13.00,166.47,Yes,7.00,79.66,M,Yes,WA2,WA,23,,12/1/2022,12/10/2022,12/13/2022,12/14/22,12/21/2022,
1040,34,,9.00,45.9,,12.00,,28.00,,Yes,14.00,132.28,No,,,,,WA2,WA,23,,12/1/2022,12/10/2022,12/13/2022,12/15/22,,12/29/22
1041,16,,21.00,58.57,,24.00,172.1,42.00,,Yes,28.00,151.14,No,,,,,WA2,WA,23,,12/1/2022,12/22/2022,12/25/2022,12/29,,1/12/23
1042,21,,12.00,39.7,,16.00,195.45,,,Yes,18.00,184.29,Yes,10.00,100.37,M,Yes,WA2,WA,17,,12/1/2022,12/13/2022,12/17/2022,12/19/22,12/29/2022,
1043,26,,12.00,214.52,,13.00,223.23,,,Yes,14.00,179.62,Yes,6.00,98.83,F,Yes,WA2,WA,17,,12/1/2022,12/13/2022,12/14/2022,12/15/22,12/21/2022,
1044,30,,10.00,31.46,,12.00,153.46,,,Yes,14.00,149.14,Yes,6.00,80.97,F,Yes,WA2,WA,17,,12/1/2022,12/11/2022,12/13/2022,12/15/22,12/21/2022,
1045,34,,9.00,70.89,,12.00,130.22,21.00,,Yes,13.00,139.27,No,,,,,WA2,WA,16,,12/1/2022,12/10/2022,12/13/2022,12/14/22,,12/22/22
1046,16,,23.00,142.13,,26.00,,46.00,,Yes,32.00,175.91,No,,,,,WA2,WA,16,,12/1/2022,12/24/2022,12/27/2022,1/2/23,,1/16/23
1047,21,,,,,,,5.00,,,,,,,,,,WA2,WA,45,,12/1/2022,,,,,12/6/22
1048,26,,11.00,120.7,,13.00,,,,Yes,14.00,135.29,Yes,6.00,65.84,F,Yes,WA2,WA,45,,12/1/2022,12/12/2022,12/14/2022,12/15/22,12/21/2022,
1049,30,,10.00,66.48,,12.00,156.51,,,Yes,13.00,142.36,Yes,6.00,69.61,F,Yes,WA2,WA,20,,12/1/2022,12/11/2022,12/13/2022,12/14/22,12/20/2022,
1050,34,,10.00,40.29,,12.00,149.33,,,Yes,14.00,136.56,Yes,8.00,116.14,F,No,WA2,WA,20,,12/1/2022,12/11/2022,12/13/2022,12/15/22,12/23/2022,
1051,16,,23.00,121.8,,26.00,201.56,,,Yes,29.00,188.31,Yes,17.00,69.36,M,Yes,WA2,WA,24,,12/1/2022,12/24/2022,12/27/2022,12/30/22,1/16/2023,
1052,21,,16.00,91.05,,17.00,175.07,,,Yes,20.00,192.12,Yes,12.00,246.92,,No,WA2,WA,24,,12/1/2022,12/17/2022,12/18/2022,12/21/22,1/2/2023,
1053,26,,10.00,160.45,,12.00,202.84,,,Yes,13.00,184.93,Yes,7.00,100.79,F,Yes,WA2,WA,48,,12/1/2022,12/11/2022,12/13/2022,12/14/22,12/21/2022,
1054,30,,9.00,152.3,,11.00,167.34,,,Yes,12.00,148.71,Yes,5.00,75.07,F,Yes,WA2,WA,48,,12/1/2022,12/10/2022,12/12/2022,12/13/22,12/18/2022,
1055,34,,13.00,129.78,,14.00,170.61,17.00,,No,17.00,167.69,No,,,,,WA2,WA,39,167.69,12/1/2022,12/14/2022,12/15/2022,12/18/22,,12/18/22
1056,16,,22.00,79.33,,,,32.00,,No,32.00,167.52,No,,,,,WA2,WA,39,167.52,12/1/2022,12/23/2022,,1/2/23,,1/2/23
1057,21,,16.00,137.43,,18.00,153.22,19.00,,No,19.00,136.83,No,,,,,WA2,WA,30,136.83,12/1/2022,12/17/2022,12/19/2022,12/20/22,,12/20/22
1058,26,,,,,,,3.00,,,,,,,,,,WA2,WA,30,,12/1/2022,,,,,12/4/22
1059,30,,12.00,119.58,,13.00,148.43,,,Yes,13.00,136.36,Yes,7.00,66.4,F,Yes,WA2,WA,30,,12/1/2022,12/13/2022,12/14/2022,12/14/22,12/21/2022,
1060,34,,,,,,,10.00,,,,,,,,,,WA2,WA,25,,12/1/2022,,,,,12/11/22
1061,16,,21.00,91.82,,24.00,164.92,42.00,,Yes,29.00,183.61,No,,,,,WA2,WA,25,,12/1/2022,12/22/2022,12/25/2022,12/30/22,,1/12/23
1062,21,,14.00,69.97,,16.00,153.22,,,Yes,18.00,168.6,Yes,10.00,90.6,M,Yes,WA2,WA,38,,12/1/2022,12/15/2022,12/17/2022,12/19/22,12/29/2022,
1063,26,,10.00,120.45,,12.00,150.22,14.00,,Yes,13.00,85.5,No,,,,,WA2,WA,38,,12/1/2022,12/11/2022,12/13/2022,12/14/22,,12/15/22
1064,30,,,,,,,3.00,,,,,,,,,,WA2,WA,38,,12/1/2022,,,,,12/4/2022
